Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,goles_barca,goles_rival,temporada
2004-12-04,Barcelona,Malaga,4,0,H,2.0,0.0,H,,,,,,,,,,,,,,4,0,0405
2004-12-11,Albacete,Barcelona,1,2,A,0.0,1.0,A,,,,,,,,,,,,,,2,1,0405
2004-12-18,Barcelona,Valencia,1,1,D,0.0,0.0,D,,,,,,,,,,,,,,1,1,0405
2004-12-21,Barcelona,Levante,2,1,H,1.0,0.0,H,,,,,,,,,,,,,,2,1,0405
2005-01-09,Villarreal,Barcelona,3,0,H,1.0,0.0,H,,,,,,,,,,,,,,0,3,0405
2005-01-16,Barcelona,Sociedad,1,0,H,0.0,0.0,D,,,,,,,,,,,,,,1,0,0405
2005-01-22,Barcelona,Santander,3,0,H,1.0,0.0,H,,,,,,,,,,,,,,3,0,0405
2005-01-29,Sevilla,Barcelona,0,4,A,0.0,0.0,D,,,,,,,,,,,,,,4,0,0405
2005-02-06,Barcelona,Ath Madrid,0,2,A,0.0,1.0,A,,,,,,,,,,,,,,0,2,0405
2005-02-12,Zaragoza,Barcelona,1,4,A,0.0,3.0,A,,,,,,,,,,,,,,4,1,0405
2005-02-19,Barcelona,Mallorca,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,2,0,0405
2005-02-26,Numancia,Barcelona,1,1,D,1.0,0.0,H,,,,,,,,,,,,,,1,1,0405
2005-03-01,Barcelona,Espanol,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0405
2005-03-05,Osasuna,Barcelona,0,1,A,0.0,1.0,A,,,,,,,,,,,,,,1,0,0405
2005-03-12,Barcelona,Ath Bilbao,2,0,H,2.0,0.0,H,,,,,,,,,,,,,,2,0,0405
2005-03-19,La Coruna,Barcelona,0,1,A,0.0,1.0,A,,,,,,,,,,,,,,1,0,0405
2005-04-03,Barcelona,Betis,3,3,D,1.0,2.0,A,,,,,,,,,,,,,,3,3,0405
2005-04-10,Real Madrid,Barcelona,4,2,H,3.0,1.0,H,,,,,,,,,,,,,,2,4,0405
2005-04-17,Barcelona,Getafe,2,0,H,1.0,0.0,H,,,,,,,,,,,,,,2,0,0405
2005-04-24,Malaga,Barcelona,0,4,A,0.0,2.0,A,,,,,,,,,,,,,,4,0,0405
2005-05-01,Barcelona,Albacete,2,0,H,0.0,0.0,D,,,,,,,,,,,,,,2,0,0405
2005-05-08,Valencia,Barcelona,0,2,A,0.0,2.0,A,,,,,,,,,,,,,,2,0,0405
2005-05-14,Levante,Barcelona,1,1,D,1.0,0.0,H,,,,,,,,,,,,,,1,1,0405
2005-05-22,Barcelona,Villarreal,3,3,D,2.0,2.0,D,,,,,,,,,,,,,,3,3,0405
2005-05-29,Sociedad,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,,0,0,0405
